amount,retry_count,failure_count,transaction_frequency_10min,hour_of_day,previous_success_rate,velocity_score,device_trust_score,risk_score,failed,failure_category
1323.17,1,3,3,16,0.85,0.99,0.74,26.2,1,BANK_FAILURE
2462.48,0,0,1,9,0.897,0.85,0.86,19.4,0,SUCCESS
7123.94,2,1,1,20,0.853,0.81,0.71,35.5,1,BANK_FAILURE
661.71,0,0,2,21,0.908,0.29,0.94,12.6,0,SUCCESS
4954.86,0,0,1,8,0.983,0.88,0.92,5.3,0,SUCCESS
3469.96,0,1,1,19,0.977,0.5,0.86,18.7,0,SUCCESS
745.11,0,0,1,12,0.953,1.03,0.88,12.8,0,SUCCESS
290.42,0,0,1,9,0.917,0.72,0.93,8.7,0,SUCCESS
4240.37,1,0,1,17,0.993,1.09,0.94,23.4,0,SUCCESS
160.19,1,0,1,13,0.981,0.95,0.93,16.7,0,SUCCESS
4080.67,0,0,1,18,0.897,1.0,0.86,24.7,0,SUCCESS
1824.38,0,0,2,17,0.915,0.21,0.88,19.2,0,SUCCESS
1922.78,0,0,2,10,0.991,0.85,0.99,22.0,0,SUCCESS
765.21,0,0,1,6,0.888,0.51,0.9,19.6,0,SUCCESS
1925.8,1,1,1,10,0.823,1.21,0.95,26.2,1,TIMEOUT
1817.67,1,0,1,12,0.885,0.91,0.87,13.8,0,SUCCESS
319.35,0,0,1,12,0.937,0.76,0.95,7.8,0,SUCCESS
1161.87,0,1,2,20,0.971,0.43,0.86,10.8,0,SUCCESS
259.97,0,0,1,7,0.955,0.5,0.87,14.1,0,SUCCESS
150655.0,6,9,18,3,0.164,4.17,0.16,100.0,1,DUPLICATE_TRANSACTION
430.16,0,0,2,18,0.983,0.21,0.93,13.3,0,SUCCESS
777.92,3,2,3,19,0.781,1.42,0.9,32.3,1,GATEWAY_FAILURE
4330.36,0,0,1,17,0.91,0.7,0.9,10.7,0,SUCCESS
94.1,0,1,1,22,0.997,0.61,0.85,11.9,0,SUCCESS
1256.3,0,0,1,7,0.944,0.65,0.93,16.9,0,SUCCESS
95302.0,5,4,19,23,0.271,6.98,0.21,100.0,1,DUPLICATE_TRANSACTION
2213.37,0,0,1,11,0.963,1.06,0.9,9.4,0,SUCCESS
1539.22,0,0,1,12,0.901,0.89,0.91,23.7,0,SUCCESS
226.53,0,1,1,15,0.911,0.86,0.97,16.1,0,SUCCESS
954.14,0,0,1,7,1.0,1.17,0.93,22.7,0,SUCCESS
299.95,1,0,1,14,0.922,0.93,0.98,36.0,1,INSUFFICIENT_FUNDS
1865.27,0,0,1,16,0.992,0.99,0.95,16.6,0,SUCCESS
1314.16,1,3,1,10,0.74,1.46,0.89,38.0,1,GATEWAY_FAILURE
353.74,0,1,2,6,0.882,0.69,0.88,12.3,0,SUCCESS
1684.89,1,0,1,8,0.959,0.77,0.86,12.4,0,SUCCESS
95121.0,7,6,10,3,0.202,5.43,0.24,100.0,1,DUPLICATE_TRANSACTION
3692.4,2,1,2,10,0.909,1.27,0.81,34.9,1,TIMEOUT
810.73,0,0,1,19,0.99,0.57,0.85,23.6,0,SUCCESS
719.73,0,1,1,8,0.998,0.28,0.9,8.8,0,SUCCESS
424.15,0,0,1,8,0.9,0.76,0.99,18.9,0,SUCCESS
1061.93,0,0,1,20,0.999,0.34,0.93,22.5,0,SUCCESS
1669.04,0,0,1,6,0.896,0.91,0.93,10.9,0,SUCCESS
1078.83,2,1,2,20,0.816,0.51,0.93,18.9,1,NETWORK_FAILURE
137.3,0,0,1,19,0.975,1.09,0.9,12.5,0,SUCCESS
167.44,0,0,1,22,0.884,1.02,0.9,7.5,0,SUCCESS
1428.58,1,2,2,19,0.918,0.59,0.81,25.6,1,TIMEOUT
2094.78,3,1,2,20,0.879,0.85,0.81,33.7,1,BANK_FAILURE
1684.29,0,0,1,10,0.902,0.28,0.91,18.8,0,SUCCESS
120.95,0,0,1,6,0.933,0.44,0.86,8.7,0,SUCCESS
3321.94,1,0,1,6,0.995,0.94,0.93,17.2,0,SUCCESS
701.85,0,0,2,17,0.948,0.36,0.87,11.8,0,SUCCESS
164.55,0,0,1,20,0.885,1.06,0.96,14.5,0,SUCCESS
172.55,0,0,1,21,0.977,0.55,0.92,18.0,0,SUCCESS
108.1,0,0,1,10,0.986,0.46,0.85,23.7,0,SUCCESS
150868.0,7,8,8,2,0.059,6.72,0.33,100.0,1,DUPLICATE_TRANSACTION
638.56,0,1,1,6,0.935,0.75,0.99,12.7,0,SUCCESS
3947.91,1,0,1,15,0.905,0.47,0.88,12.5,0,SUCCESS
96.69,0,0,1,8,0.92,0.86,0.91,18.6,0,SUCCESS
1191.16,3,1,3,12,0.873,1.22,0.96,25.8,1,BANK_FAILURE
698.43,0,0,1,9,0.901,0.95,0.97,24.8,0,SUCCESS
687.5,0,0,1,22,0.973,0.54,0.99,22.2,0,SUCCESS
721.43,1,0,2,18,0.969,0.44,0.91,15.7,0,SUCCESS
1334.33,1,2,1,18,0.819,0.55,0.99,31.9,1,TIMEOUT
575.03,0,0,1,19,0.961,0.68,0.92,6.7,0,SUCCESS
164.42,0,0,1,17,0.919,0.87,0.96,20.8,0,SUCCESS
1919.6,0,0,1,18,0.992,1.17,1.0,6.1,0,SUCCESS
2503.33,1,1,1,9,0.984,1.19,0.97,32.3,1,TIMEOUT
2236.76,0,0,1,19,0.964,0.27,0.97,19.1,0,SUCCESS
251.73,1,2,1,15,0.871,0.87,0.96,33.9,1,TIMEOUT
5171.53,0,0,2,9,0.922,0.91,0.92,12.6,0,SUCCESS
1514.28,0,1,2,15,0.989,0.31,0.92,5.2,0,SUCCESS
807.83,0,0,1,13,0.894,0.85,0.96,16.7,0,SUCCESS
3978.66,0,0,1,22,0.89,0.73,0.92,21.0,0,SUCCESS
45771.0,7,8,19,23,0.065,8.59,0.33,100.0,1,AUTHENTICATION_FAILURE
1475.55,0,0,1,20,0.956,0.9,0.92,17.6,0,SUCCESS
1102.39,0,1,1,21,0.968,1.12,0.99,6.2,0,SUCCESS
651.08,0,0,1,13,0.9,0.85,0.91,9.6,0,SUCCESS
419.99,0,0,1,10,0.997,1.19,0.95,15.7,0,SUCCESS
1075.95,1,1,1,11,0.906,1.94,0.9,37.3,1,BANK_FAILURE
699.04,0,0,1,18,0.9,0.61,0.97,14.6,0,SUCCESS
10697.4,3,1,2,17,0.942,1.81,0.93,34.4,1,BANK_FAILURE
1489.59,1,1,3,14,0.873,1.44,0.91,43.3,1,BANK_FAILURE
1104.8,0,0,1,10,0.971,0.58,0.89,9.1,0,SUCCESS
45150.0,7,8,8,1,0.285,6.9,0.16,100.0,1,AUTHENTICATION_FAILURE
1385.13,0,1,1,7,0.937,1.03,0.9,21.3,0,SUCCESS
4178.44,0,0,1,22,0.896,0.23,0.96,17.4,0,SUCCESS
1510.2,0,0,2,12,0.896,0.21,0.9,16.8,0,SUCCESS
75434.0,5,6,19,2,0.172,6.33,0.29,100.0,1,DUPLICATE_TRANSACTION
1850.56,1,1,1,20,0.828,1.43,0.9,20.2,1,NETWORK_FAILURE
786.5,1,0,1,7,0.954,0.55,0.88,30.4,1,INSUFFICIENT_FUNDS
550.46,0,0,1,20,0.895,0.33,0.87,7.8,0,SUCCESS
1277.9,0,0,1,13,0.964,0.61,0.98,15.3,0,SUCCESS
4388.22,0,0,1,10,0.921,0.55,0.85,16.0,0,SUCCESS
966.37,0,0,2,17,0.905,0.56,0.93,18.8,0,SUCCESS
97.13,0,0,1,20,0.955,0.28,0.98,23.4,0,SUCCESS
124.63,0,0,1,9,0.977,0.95,0.88,9.2,0,SUCCESS
604.34,0,0,1,19,0.954,0.57,0.92,19.9,0,SUCCESS
93.85,0,0,1,12,0.962,1.04,0.96,5.6,0,SUCCESS
2471.83,0,0,1,11,0.944,0.44,0.89,12.5,0,SUCCESS
135.5,1,1,1,13,0.862,0.62,0.98,26.9,1,TIMEOUT
1412.96,0,0,2,8,0.958,0.68,0.94,19.7,0,SUCCESS
1028.03,0,0,1,13,0.932,0.33,0.89,12.3,0,SUCCESS
1294.87,0,0,2,7,0.909,0.7,0.9,23.7,0,SUCCESS
58.08,0,0,1,11,0.924,0.69,0.98,6.8,0,SUCCESS
2016.04,0,0,1,14,0.89,0.72,0.91,24.6,0,SUCCESS
191.59,0,0,1,7,0.949,1.12,0.85,24.5,0,SUCCESS
858.78,0,0,2,11,0.96,1.13,0.93,16.4,0,SUCCESS
443.17,1,0,1,17,0.905,1.17,0.96,9.0,0,SUCCESS
2497.94,2,1,1,17,0.946,0.59,0.9,33.6,1,TIMEOUT
512.93,0,0,1,8,0.886,0.54,0.87,6.3,0,SUCCESS
5570.44,0,0,2,18,0.962,0.29,0.87,5.1,0,SUCCESS
197.9,0,0,1,20,0.937,0.61,0.9,23.6,0,SUCCESS
2179.73,0,0,1,17,0.929,1.13,1.0,9.1,0,SUCCESS
957.23,1,2,2,13,0.809,1.28,0.97,30.0,1,TIMEOUT
1977.55,0,1,2,8,0.9,1.01,0.95,15.5,0,SUCCESS
582.35,0,0,1,18,0.951,0.88,0.92,19.3,0,SUCCESS
2808.12,0,0,1,11,0.945,0.64,0.94,12.1,0,SUCCESS
645.07,1,0,1,7,0.945,1.11,0.94,7.3,0,SUCCESS
3421.74,0,0,1,12,0.968,0.89,0.88,35.8,1,INSUFFICIENT_FUNDS
869.84,0,0,1,12,0.949,1.2,0.96,19.1,0,SUCCESS
1858.19,0,0,1,6,0.884,0.77,0.96,22.5,0,SUCCESS
551.41,1,0,1,11,0.944,0.58,0.92,17.1,0,SUCCESS
1354.92,2,1,1,22,0.878,1.27,0.8,27.0,1,NETWORK_FAILURE
1599.44,2,1,1,12,0.957,1.46,0.87,19.5,1,NETWORK_FAILURE
710.14,0,0,2,19,0.954,1.11,0.87,7.0,0,SUCCESS
403.88,0,0,2,13,0.985,1.13,0.93,18.9,0,SUCCESS
3117.96,0,0,1,13,0.958,0.97,0.91,6.4,0,SUCCESS
145.57,0,0,1,19,0.992,1.13,0.92,7.3,0,SUCCESS
5076.01,0,0,1,19,0.902,1.04,0.9,11.2,0,SUCCESS
794.97,3,1,3,17,0.886,1.05,0.92,37.1,1,GATEWAY_FAILURE
194.61,0,1,1,16,0.991,0.67,0.92,23.4,0,SUCCESS
1110.37,1,0,1,17,0.99,0.45,0.94,8.3,0,SUCCESS
90.36,0,0,2,6,0.923,0.78,0.94,5.3,0,SUCCESS
1356.12,1,0,1,12,0.997,0.66,0.93,22.2,0,SUCCESS
968.04,0,0,1,13,0.94,0.8,0.86,20.0,0,SUCCESS
331.72,0,0,2,22,0.884,0.67,0.93,6.3,0,SUCCESS
2788.2,1,2,2,13,0.884,0.9,0.91,18.1,1,NETWORK_FAILURE
289.97,0,0,1,12,0.97,0.47,0.98,15.5,0,SUCCESS
45186.0,6,5,11,23,0.193,6.53,0.13,100.0,1,AUTHENTICATION_FAILURE
894.07,0,0,1,13,0.892,1.0,0.88,18.1,0,SUCCESS
375.46,0,0,1,7,0.977,1.19,0.94,21.1,0,SUCCESS
3993.88,0,0,1,10,0.897,0.61,0.9,6.7,0,SUCCESS
1252.66,0,1,1,6,0.905,0.23,0.88,16.7,0,SUCCESS
705.62,0,0,1,7,0.989,0.82,0.9,21.5,0,SUCCESS
590.29,0,0,1,17,0.98,0.55,0.97,12.3,0,SUCCESS
2417.52,0,1,1,8,0.994,0.96,0.87,22.4,0,SUCCESS
850.98,0,0,1,19,0.937,0.38,0.92,15.2,0,SUCCESS
1673.3,0,1,2,7,0.956,0.46,0.87,21.7,0,SUCCESS
5041.75,0,0,1,18,0.963,0.88,0.97,29.5,1,INSUFFICIENT_FUNDS
2074.23,0,1,2,14,0.913,0.75,0.95,21.6,0,SUCCESS
515.16,2,2,1,18,0.971,1.37,0.92,27.0,1,TIMEOUT
1361.48,0,0,2,12,0.949,1.04,0.91,20.4,0,SUCCESS
1520.61,2,2,3,9,0.721,1.52,0.77,32.8,1,BANK_FAILURE
712.17,2,2,1,18,0.856,1.07,0.9,28.3,1,NETWORK_FAILURE
3363.31,0,1,1,10,0.938,0.47,0.93,8.2,0,SUCCESS
2259.63,0,0,1,22,0.94,0.8,0.9,20.4,0,SUCCESS
184.26,0,0,1,14,0.922,0.61,0.96,17.0,0,SUCCESS
1688.99,3,3,2,13,0.701,1.96,0.7,27.1,1,BANK_FAILURE
778.95,1,1,1,20,0.95,1.19,0.9,16.7,1,NETWORK_FAILURE
